no,sample,tissue,plant,stage,BR,A,B,C,D,E,F,G,H,I,J,pulp_wt_mg,pulp_wt_g,insert_wt,insert_extract,extract_wt_g,extract_wt_mg,A_corr,B_corr,C_corr,D_corr,E_corr,F_corr,G_corr,H_corr,I_corr,J_corr,A_pdw,B_pdw,C_pdw,D_pdw,E_pdw,F_pdw,G_pdw,H_pdw,I_pdw,J_pdw
13,P.10.4,P,10,4,8221666,50754,141941,5414,16686,246258,1212376,8825,11704,195621,292957,10.04,0.01004,0.58604,0.58677,0.00073,0.73,0.005658789,0.015825632,0.000603631,0.001860396,0.027456396,0.135173176,0.000983938,0.001304931,0.021810653,0.032663075,0.008881353,0.024838007,0.000947386,0.002902508,0.043092256,0.21215155,0.001544271,0.002048062,0.034231376,0.051264032
14,P.10.5,P,10,5,6539191,8439,20109,566,3970,39506,233094,2864,3976,70701,139960,10.09,0.01009,0.58485,0.58542,0.00057,0.57,0.001182987,0.002818899,7.93E-05,0.000556518,0.005537989,0.032675338,0.000401478,0.000557359,0.009910933,0.019619726,0.001847474,0.00440228,0.000123909,0.000868255,0.008648689,0.051029149,0.000626989,0.00087043,0.015477927,0.03064017
15,P.11.1,P,11,1,6656952,187246,303402,23747,138172,894894,2373142,32882,99069,624253,507089,10.05,0.01005,0.58263,0.58288,0.00025,0.25,0.025783991,0.041778807,0.003269989,0.019026444,0.12322794,0.326784402,0.004527889,0.013641916,0.085960361,0.069826743,0.040427183,0.065505743,0.005127075,0.029684222,0.193211304,0.512371141,0.007099359,0.021389406,0.134778796,0.109482606
16,P.11.2,P,11,2,5326332,123598,210972,15316,105623,704221,2024649,29399,93210,533472,456353,10.06,0.01006,0.58866,0.58885,0.00019,0.19,0.021271408,0.036308608,0.002635907,0.018177882,0.121197527,0.348445234,0.005059614,0.016041586,0.091811359,0.078539059,0.03331867,0.056872331,0.004128778,0.028360332,0.189838887,0.545790474,0.007925173,0.025126889,0.143809587,0.123020395
17,P.11.3,P,11,3,7385229,212835,385415,24981,116982,1178722,3354171,42807,108834,911065,751733,9.99,0.00999,0.59028,0.59066,0.00038,0.38,0.026417523,0.047838512,0.003100694,0.014520049,0.146305429,0.416326688,0.005313294,0.013508703,0.113083285,0.093306665,0.041669282,0.075457355,0.004890832,0.022653542,0.23077266,0.656686619,0.008380844,0.021307748,0.178370213,0.14717586
18,P.11.4,P,11,4,5719732,50342,82680,5006,17438,368424,1012147,13986,20731,341386,266669,10.05,0.01005,0.58423,0.58467,0.00044,0.44,0.008068036,0.013250669,0.000802284,0.002794692,0.059045289,0.162211235,0.002241459,0.003322443,0.054712057,0.042737574,0.012650018,0.020775962,0.001257916,0.004360156,0.09257817,0.254333913,0.003514424,0.005209319,0.085784019,0.067009012
19,P.11.5,P,11,5,6133721,24742,86430,2359,10187,143607,897018,6226,8035,147871,269706,10,0.01,0.59703,0.59746,0.00043,0.43,0.003697633,0.012916758,0.000352547,0.001522423,0.021461724,0.134057204,0.000930461,0.001200812,0.022098969,0.04030692,0.005826573,0.020353679,0.000555529,0.002375217,0.033818475,0.211241655,0.001466181,0.001892188,0.034822618,0.063513934
20,P.12.1,P,12,1,91232,26585,23960,2623,2623,31839,30103,2604,2882,2882,1465,10.09,0.01009,0.59034,0.59069,0.00035,0.35,0.26711759,0.240742428,0.026355066,0.026355066,0.319908104,0.30246533,0.02616416,0.028957416,0.028957416,0.014719852,0.417158142,0.375967993,0.041158767,0.041118015,0.499601207,0.472360788,0.040860628,0.045222861,0.045222861,0.022988026
21,P.12.2,P,12,2,104181,45015,38824,8039,8039,64965,62944,12865,8247,11438,2959,9.91,0.00991,0.59523,0.59594,0.00071,0.71,0.39607894,0.341605437,0.070733724,0.070733724,0.571615425,0.553833007,0.113196836,0.072563879,0.100640918,0.026035712,0.629792523,0.543175939,0.112471445,0.110355645,0.908907503,0.880632246,0.179990688,0.115381516,0.160025922,0.041398558
22,P.12.3,P,12,3,130375,21795,17604,4695,16443,30527,26216,11605,3278,6410,1582,9.96,0.00996,0.58138,0.58183,0.00045,0.45,0.153241209,0.12377418,0.033010667,0.115611159,0.214636127,0.184325375,0.081595055,0.023047703,0.045068876,0.011123083,0.242440759,0.195821387,0.052225711,0.180371445,0.339572795,0.29161858,0.129090388,0.036463446,0.071302834,0.017597673
